endpoint-url,documentation-url,organisation,pipeline,licence,plugins,start-date
https://raw.githubusercontent.com/digital-land/design-code-data/main/data/design-code.csv,https://github.com/digital-land/design-code-data,government-organisation:D1342,design-code,,,2024-06-06
https://raw.githubusercontent.com/digital-land/design-code-data/main/data/design-code-rule.csv,https://github.com/digital-land/design-code-data,government-organisation:D1342,design-code-rule,,,2024-06-06
https://dluhc-datasets.planning-data.dev/dataset/design-code-characteristic.csv,https://dluhc-datasets.planning-data.dev/dataset/design-code-characteristic,government-organisation:D1342,design-code-charactertistic,,,2023‑09‑28
https://dluhc-datasets.planning-data.dev/dataset/design-code-area-type.csv,https://dluhc-datasets.planning-data.dev/dataset/design-code-area-type,government-organisation:D1342,design-code-area-type,,,2024‑03‑05
